Manufacturer,Model,Price,Carrosserie,Fuel
BMW,3 Serie Touring,"€ 799,-",Stationwagen (5 deurs),Benzine
Kia,EV9 Elektrisch,"€ 819,-",SUV (5 deurs),Elektriciteit
Zeekr,001 Elektrisch,"€ 829,-",Hatchback (5 deurs),Elektriciteit
Volvo,V60 PHEV,"€ 844,-",Stationwagen (5 deurs),Benzine
Lexus,ES 300h Hybrid,"€ 909,-",Sedan (4 deurs),Hybride benzine
BMW,X3 PHEV,"€ 939,-",SUV (5 deurs),Elektriciteit / benzine
Alfa,Romeo Giulia,"€ 944,-",Sedan (4 deurs),Benzine
BMW,i5 Elektrisch,"€ 959,-",Sedan (4 deurs),Elektriciteit
Land,Rover Range Rover Evoque PHEV,"€ 969,-",SUV (5 deurs),Elektriciteit / benzine
Volvo,XC60 PHEV,"€ 1.019,-",SUV (5 deurs),Benzine
Alfa,Romeo Stelvio,"€ 1.129,-",SUV (5deurs),Benzine
